22	22	NUM	CD	7	B-Chemical
-	-	PUNCT	HYPH	7	I-Chemical
oxacalcitriol	oxacalcitriol	NOUN	NNS	9	I-Chemical
suppresses	suppress	VERB	VBZ	3	O
secondary	secondary	ADJ	JJ	9	B-Disease
hyperparathyroidism	hyperparathyroidism	NOUN	NN	5	I-Disease
without	without	ADP	IN	9	O
inducing	induce	VERB	VBG	3	O
low	low	ADJ	JJ	9	B-Disease
bone	bone	NOUN	NN	5	I-Disease
turnover	turnover	NOUN	NN	9	I-Disease
in	in	ADP	IN	5	O
dogs	dog	NOUN	NNS	5	O
with	with	ADP	IN	5	O
renal	renal	ADJ	JJ	9	B-Disease
failure	failure	NOUN	NN	5	I-Disease
.	.	PUNCT	.	9	O

BACKGROUND	BACKGROUND	NOUN	NNS	2	O
:	:	PUNCT	:	9	O
Calcitriol	Calcitriol	PROPN	NNP	3	B-Chemical
therapy	therapy	NOUN	NN	5	O
suppresses	suppress	VERB	VBZ	3	O
serum	serum	ADJ	JJ	9	O
levels	level	NOUN	NNS	3	O
of	of	ADP	IN	5	O
parathyroid	parathyroid	ADJ	JJ	9	O
hormone	hormone	NOUN	NN	9	O
(	(	PUNCT	-LRB-	9	O
PTH	PTH	PROPN	NNP	9	O
)	)	PUNCT	-RRB-	9	O
in	in	ADP	IN	5	O
patients	patient	NOUN	NNS	5	O
with	with	ADP	IN	5	O
renal	renal	ADJ	JJ	9	B-Disease
failure	failure	NOUN	NN	5	I-Disease
but	but	CCONJ	CC	9	O
has	have	VERB	VBZ	9	O
several	several	ADJ	JJ	9	O
drawbacks	drawback	NOUN	NNS	5	O
,	,	PUNCT	,	9	O
including	include	VERB	VBG	9	O
hypercalcemia	hypercalcemia	NOUN	NN	5	B-Disease
and	and	CCONJ	CC	5	O
/	/	SYM	SYM	9	O
or	or	CCONJ	CC	5	O
marked	mark	VERB	VBN	9	O
suppression	suppression	NOUN	NN	9	B-Disease
of	of	ADP	IN	5	I-Disease
bone	bone	NOUN	NN	5	I-Disease
turnover	turnover	NOUN	NN	9	I-Disease
,	,	PUNCT	,	9	O
which	which	DET	WDT	5	O
may	may	VERB	MD	5	O
lead	lead	VERB	VB	5	O
to	to	ADP	IN	5	O
adynamic	adynamic	ADJ	JJ	5	B-Disease
bone	bone	NOUN	NN	5	I-Disease
disease	disease	NOUN	NN	5	I-Disease
.	.	PUNCT	.	9	O

A	a	DET	DT	9	O
new	new	ADJ	JJ	5	O
vitamin	vitamin	NOUN	NN	0	B-Chemical
D	d	NOUN	NN	9	I-Chemical
analogue	analogue	NOUN	NN	0	O
,	,	PUNCT	,	9	O
22	22	NUM	CD	7	B-Chemical
-	-	PUNCT	HYPH	7	I-Chemical
oxacalcitriol	oxacalcitriol	NOUN	NNS	9	I-Chemical
