Selegiline	Selegiline	PROPN	NNP	0	B-Chemical
-	-	PUNCT	HYPH	7	O
induced	induce	VERB	VBN	3	O
postural	postural	ADJ	JJ	5	B-Disease
hypotension	hypotension	NOUN	NN	5	I-Disease
in	in	ADP	IN	5	O
Parkinson	Parkinson	PROPN	NNP	5	B-Disease
'	'	PART	POS	9	I-Disease
s	s	PART	POS	9	I-Disease
disease	disease	NOUN	NN	5	I-Disease
:	:	PUNCT	:	9	O
a	a	DET	DT	5	O
longitudinal	longitudinal	ADJ	JJ	5	O
study	study	NOUN	NN	9	O
on	on	ADP	IN	5	O
the	the	DET	DT	5	O
effects	effect	NOUN	NNS	9	O
of	of	ADP	IN	5	O
drug	drug	NOUN	NN	5	O
withdrawal	withdrawal	NOUN	NN	5	O
.	.	PUNCT	.	9	O

OBJECTIVES	objectives	NOUN	NN	2	O
:	:	PUNCT	:	9	O
The	the	DET	DT	5	O
United	United	PROPN	NNP	9	O
Kingdom	Kingdom	PROPN	NNP	2	O
Parkinson	Parkinson	PROPN	NNP	5	B-Disease
'	'	PUNCT	''	9	I-Disease
s	s	PROPN	NNP	9	I-Disease
Disease	Disease	PROPN	NNP	2	I-Disease
Research	Research	PROPN	NNP	2	O
Group	Group	PROPN	NNP	9	O
(	(	PUNCT	-LRB-	9	O
UKPDRG	UKPDRG	PROPN	NNP	_	O
)	)	PUNCT	-RRB-	9	O
trial	trial	NOUN	NN	5	O
found	find	VERB	VBD	9	O
an	an	DET	DT	5	O
increased	increase	VERB	VBN	9	O
mortality	mortality	NOUN	NN	5	O
in	in	ADP	IN	5	O
patients	patient	NOUN	NNS	5	O
with	with	ADP	IN	5	O
Parkinson	Parkinson	PROPN	NNP	5	B-Disease
'	'	PART	POS	9	I-Disease
s	s	PART	POS	9	I-Disease
disease	disease	NOUN	NN	5	I-Disease
(	(	PUNCT	-LRB-	9	O
PD	PD	PROPN	NNP	9	B-Disease
)	)	PUNCT	-RRB-	9	O
randomized	randomize	VERB	VBD	5	O
to	to	PART	TO	5	O
receive	receive	VERB	VB	5	O
10	10	NUM	CD	9	O
mg	mg	NOUN	NN	0	O
selegiline	selegiline	NOUN	NN	0	B-Chemical
per	per	ADP	IN	9	O
day	day	NOUN	NN	9	O
and	and	CCONJ	CC	5	O
L	l	NOUN	NN	0	B-Chemical
-	-	PUNCT	HYPH	7	I-Chemical
dopa	dopa	NOUN	NN	0	I-Chemical
compared	compare	VERB	VBN	9	O
with	with	ADP	IN	5	O
those	those	DET	DT	5	O
taking	take	VERB	VBG	5	O
L	l	NOUN	NN	0	B-Chemical
-	-	PUNCT	HYPH	7	I-Chemical
dopa	dopa	NOUN	NN	0	I-Chemical
alone	alone	ADV	RB	9	O
.	.	PUNCT	.	9	O

Recently	recently	ADV	RB	9	O
,	,	PUNCT	,	9	O
we	-PRON-	PRON	PRP	5	O
found	find	VERB	VBD	9	O
that	that	DET	DT	5	O
therapy	therapy	NOUN	NN	5	O
with	with	ADP	IN	5	O
selegiline	selegiline	NOUN	NN	0	B-Chemical
and	and	CCONJ	CC	5	O
L	l	NOUN	NN	0	B-Chemical
-	-	PUNCT	HYPH	7	I-Chemical
dopa	dopa	PROPN	NNP	0	I-Chemical
was	be	VERB	VBD	9	O
associated	associate	VERB	VBN	9	O
with	with	ADP	IN	5	O
selective	selective	ADJ	JJ	9	O
systolic	systolic	ADJ	JJ	5	B-Disease
orthostatic	orthostatic	ADJ	JJ	5	I-Disease
hypotension	hypotension	NOUN	NN	5	I-Disease
which	which	DET	WDT	5	O
was	be	VERB	VBD	9	O
abolished	abolish	VERB	VBN	3	O
by	by	ADP	IN	9	O
withdrawal	withdrawal	NOUN	NN	5	O
of	of	ADP	IN	5	O
selegiline	selegiline	NOUN	NN	0	B-Chemical
.	.	PUNCT	.	9	O

This	this	DET	DT	5	O
unwanted	unwanted	ADJ	JJ	5	O
effect	effect	NOUN	NN	9	O
on	on	ADP	IN	5	O
postural	postural	ADJ	JJ	5	O
blood	blood	NOUN	NN	9	O
pressure	pressure	NOUN	NN	5	O
was	be	VERB	VBD	9	O
