22	22	NUM	CD	B-Chemical
-	-	PUNCT	HYPH	I-Chemical
oxacalcitriol	oxacalcitriol	NOUN	NNS	I-Chemical
suppresses	suppress	VERB	VBZ	O
secondary	secondary	ADJ	JJ	B-Disease
hyperparathyroidism	hyperparathyroidism	NOUN	NN	I-Disease
without	without	ADP	IN	O
inducing	induce	VERB	VBG	O
low	low	ADJ	JJ	B-Disease
bone	bone	NOUN	NN	I-Disease
turnover	turnover	NOUN	NN	I-Disease
in	in	ADP	IN	O
dogs	dog	NOUN	NNS	O
with	with	ADP	IN	O
renal	renal	ADJ	JJ	B-Disease
failure	failure	NOUN	NN	I-Disease
.	.	PUNCT	.	O

BACKGROUND	BACKGROUND	NOUN	NNS	O
:	:	PUNCT	:	O
Calcitriol	Calcitriol	PROPN	NNP	B-Chemical
therapy	therapy	NOUN	NN	O
suppresses	suppress	VERB	VBZ	O
serum	serum	ADJ	JJ	O
levels	level	NOUN	NNS	O
of	of	ADP	IN	O
parathyroid	parathyroid	ADJ	JJ	O
hormone	hormone	NOUN	NN	O
(	(	PUNCT	-LRB-	O
PTH	PTH	PROPN	NNP	O
)	)	PUNCT	-RRB-	O
in	in	ADP	IN	O
patients	patient	NOUN	NNS	O
with	with	ADP	IN	O
renal	renal	ADJ	JJ	B-Disease
failure	failure	NOUN	NN	I-Disease
but	but	CCONJ	CC	O
has	have	VERB	VBZ	O
several	several	ADJ	JJ	O
drawbacks	drawback	NOUN	NNS	O
,	,	PUNCT	,	O
including	include	VERB	VBG	O
hypercalcemia	hypercalcemia	NOUN	NN	B-Disease
and	and	CCONJ	CC	O
/	/	SYM	SYM	O
or	or	CCONJ	CC	O
marked	mark	VERB	VBN	O
suppression	suppression	NOUN	NN	B-Disease
of	of	ADP	IN	I-Disease
bone	bone	NOUN	NN	I-Disease
turnover	turnover	NOUN	NN	I-Disease
,	,	PUNCT	,	O
which	which	DET	WDT	O
may	may	VERB	MD	O
lead	lead	VERB	VB	O
to	to	ADP	IN	O
adynamic	adynamic	ADJ	JJ	B-Disease
bone	bone	NOUN	NN	I-Disease
disease	disease	NOUN	NN	I-Disease
.	.	PUNCT	.	O

A	a	DET	DT	O
new	new	ADJ	JJ	O
vitamin	vitamin	NOUN	NN	B-Chemical
D	d	NOUN	NN	I-Chemical
analogue	analogue	NOUN	NN	O
,	,	PUNCT	,	O
22	22	NUM	CD	B-Chemical
-	-	PUNCT	HYPH	I-Chemical
oxacalcitriol	oxacalcitriol	NOUN	NNS	I-Chemical
(	(	PUNCT	-LRB-	O
OCT	OCT	PROPN	NNP	B-Chemical
)	)	PUNCT	-RRB-	O
,	,	PUNCT	,	O
has	have	VERB	VBZ	O
been	be	VERB	VBN	O
shown	show	VERB	VBN	O
to	to	PART	TO	O
have	have	VERB	VB	O
promising	promising	ADJ	JJ	O
characteristics	characteristic	NOUN	NNS	O
.	.	PUNCT	.	O

This	this	DET	DT	O
study	study	NOUN	NN	O
was	be	VERB	VBD	O
undertaken	undertake	VERB	VBN	O
to	to	PART	TO	O
determine	determine	VERB	VB	O
the	the	DET	DT	O
effects	effect	NOUN	NNS	O
of	of	ADP	IN	O
OCT	OCT	PROPN	NNP	B-Chemical
on	on	ADP	IN	O
serum	serum	ADJ	JJ	O
PTH	PTH	PROPN	NNP	O
levels	level	NOUN	NNS	O
and	and	CCONJ	CC	O
bone	bone	NOUN	NN	O
turnover	turnover	NOUN	NN	O
in	in	ADP	IN	O
states	state	NOUN	NNS	O
of	of	ADP	IN	O
normal	normal	ADJ	JJ	O
or	or	CCONJ	CC	O
impaired	impaired	ADJ	JJ	B-Disease
renal	renal	ADJ	JJ	I-Disease
function	function	NOUN	NN	I-Disease
.	.	PUNCT	.	O

METHODS	method	NOUN	NNS	O
:	:	PUNCT	:	O
Sixty	sixty	NUM	CD	O
dogs	dog	NOUN	NNS	O
were	be	VERB	VBD	O
either	either	CCONJ	CC	O
nephrectomized	nephrectomized	ADJ	JJ	O
(	(	PUNCT	-LRB-	O
Nx	Nx	PROPN	NNP	O
,	,	PUNCT	,	O
N	N	PROPN	NNP	O
=	=	SYM	SYM	O
38	38	NUM	CD	O
)	)	PUNCT	-RRB-	O
or	or	CCONJ	CC	O
sham	sham	NOUN	NN	O
-	-	PUNCT	HYPH	O
operated	operate	VERB	VBN	O
(	(	PUNCT	-LRB-	O
Sham	Sham	PROPN	NNP	O
,	,	PUNCT	,	O
N	N	PROPN	NNP	O
=	=	SYM	SYM	O
22	22	NUM	CD	O
)	)	PUNCT	-RRB-	O
.	.	PUNCT	.	O

The	the	DET	DT	O
animals	animal	NOUN	NNS	O
received	receive	VERB	VBD	O
supplemental	supplemental	ADJ	JJ	O
phosphate	phosphate	NOUN	NN	B-Chemical
to	to	PART	TO	O
