Selegiline	Selegiline	PROPN	NNP	B-Chemical
-	-	PUNCT	HYPH	O
induced	induce	VERB	VBN	O
postural	postural	ADJ	JJ	B-Disease
hypotension	hypotension	NOUN	NN	I-Disease
in	in	ADP	IN	O
Parkinson	Parkinson	PROPN	NNP	B-Disease
'	'	PART	POS	I-Disease
s	s	PART	POS	I-Disease
disease	disease	NOUN	NN	I-Disease
:	:	PUNCT	:	O
a	a	DET	DT	O
longitudinal	longitudinal	ADJ	JJ	O
study	study	NOUN	NN	O
on	on	ADP	IN	O
the	the	DET	DT	O
effects	effect	NOUN	NNS	O
of	of	ADP	IN	O
drug	drug	NOUN	NN	O
withdrawal	withdrawal	NOUN	NN	O
.	.	PUNCT	.	O

OBJECTIVES	objectives	NOUN	NN	O
:	:	PUNCT	:	O
The	the	DET	DT	O
United	United	PROPN	NNP	O
Kingdom	Kingdom	PROPN	NNP	O
Parkinson	Parkinson	PROPN	NNP	B-Disease
'	'	PUNCT	''	I-Disease
s	s	PROPN	NNP	I-Disease
Disease	Disease	PROPN	NNP	I-Disease
Research	Research	PROPN	NNP	O
Group	Group	PROPN	NNP	O
(	(	PUNCT	-LRB-	O
UKPDRG	UKPDRG	PROPN	NNP	O
)	)	PUNCT	-RRB-	O
trial	trial	NOUN	NN	O
found	find	VERB	VBD	O
an	an	DET	DT	O
increased	increase	VERB	VBN	O
mortality	mortality	NOUN	NN	O
in	in	ADP	IN	O
patients	patient	NOUN	NNS	O
with	with	ADP	IN	O
Parkinson	Parkinson	PROPN	NNP	B-Disease
'	'	PART	POS	I-Disease
s	s	PART	POS	I-Disease
disease	disease	NOUN	NN	I-Disease
(	(	PUNCT	-LRB-	O
PD	PD	PROPN	NNP	B-Disease
)	)	PUNCT	-RRB-	O
randomized	randomize	VERB	VBD	O
to	to	PART	TO	O
receive	receive	VERB	VB	O
10	10	NUM	CD	O
mg	mg	NOUN	NN	O
selegiline	selegiline	NOUN	NN	B-Chemical
per	per	ADP	IN	O
day	day	NOUN	NN	O
and	and	CCONJ	CC	O
L	l	NOUN	NN	B-Chemical
-	-	PUNCT	HYPH	I-Chemical
dopa	dopa	NOUN	NN	I-Chemical
compared	compare	VERB	VBN	O
with	with	ADP	IN	O
those	those	DET	DT	O
taking	take	VERB	VBG	O
L	l	NOUN	NN	B-Chemical
-	-	PUNCT	HYPH	I-Chemical
dopa	dopa	NOUN	NN	I-Chemical
alone	alone	ADV	RB	O
.	.	PUNCT	.	O

Recently	recently	ADV	RB	O
,	,	PUNCT	,	O
we	-PRON-	PRON	PRP	O
found	find	VERB	VBD	O
that	that	DET	DT	O
therapy	therapy	NOUN	NN	O
with	with	ADP	IN	O
selegiline	selegiline	NOUN	NN	B-Chemical
and	and	CCONJ	CC	O
L	l	NOUN	NN	B-Chemical
-	-	PUNCT	HYPH	I-Chemical
dopa	dopa	PROPN	NNP	I-Chemical
was	be	VERB	VBD	O
associated	associate	VERB	VBN	O
with	with	ADP	IN	O
selective	selective	ADJ	JJ	O
systolic	systolic	ADJ	JJ	B-Disease
orthostatic	orthostatic	ADJ	JJ	I-Disease
hypotension	hypotension	NOUN	NN	I-Disease
which	which	DET	WDT	O
was	be	VERB	VBD	O
abolished	abolish	VERB	VBN	O
by	by	ADP	IN	O
withdrawal	withdrawal	NOUN	NN	O
of	of	ADP	IN	O
selegiline	selegiline	NOUN	NN	B-Chemical
.	.	PUNCT	.	O

This	this	DET	DT	O
unwanted	unwanted	ADJ	JJ	O
effect	effect	NOUN	NN	O
on	on	ADP	IN	O
postural	postural	ADJ	JJ	O
blood	blood	NOUN	NN	O
pressure	pressure	NOUN	NN	O
was	be	VERB	VBD	O
not	not	ADV	RB	O
the	the	DET	DT	O
result	result	NOUN	NN	O
of	of	ADP	IN	O
underlying	underlie	VERB	VBG	O
autonomic	autonomic	ADJ	JJ	O
failure	failure	NOUN	NN	O
.	.	PUNCT	.	O

The	the	DET	DT	O
aims	aim	NOUN	NNS	O
of	of	ADP	IN	O
this	this	DET	DT	O
study	study	NOUN	NN	O
were	be	VERB	VBD	O
to	to	PART	TO	O
confirm	confirm	VERB	VB	O
our	-PRON-	DET	PRP$	O
previous	previous	ADJ	JJ	O
findings	finding	NOUN	NNS	O
in	in	ADP	IN	O
a	a	DET	DT	O
separate	separate	ADJ	JJ	O
cohort	cohort	NOUN	NN	O
of	of	ADP	IN	O
patients	patient	NOUN	NNS	O
and	and	CCONJ	CC	O
to	to	PART	TO	O
determine	determine	VERB	VB	O
the	the	DET	DT	O
time	time	NOUN	NN	O
course	course	NOUN	NN	O
of	of	ADP	IN	O
the	the	DET	DT	O
cardiovascular	cardiovascular	ADJ	JJ	O
consequences	consequence	NOUN	NNS	O
of	of	ADP	IN	O
stopping	stop	VERB	VBG	O
selegiline	selegiline	NOUN	NN	B-Chemical
in	in	ADP	IN	O
the	the	DET	DT	O
expectation	expectation	NOUN	NN	O
that	that	ADP	IN	O
this	this	DET	DT	O
might	may	VERB	MD	O
shed	shed	VERB	VB	O
light	light	NOUN	NN	O
on	on	ADP	IN	O
the	the	DET	DT	O
mechanisms	mechanism	NOUN	NNS	O
by	by	ADP	IN	O
which	which	DET	WDT	O
the	the	DET	DT	O
drug	drug	NOUN	NN	O
causes	cause	VERB	VBZ	O
orthostatic	orthostatic	ADJ	JJ	B-Disease
hypotension	hypotension	NOUN	NN	I-Disease
.	.	PUNCT	.	O

METHODS	method	NOUN	NNS	O
:	:	PUNCT	:	O
The	the	DET	DT	O
cardiovascular	cardiovascular	ADJ	JJ	O
responses	response	NOUN	NNS	O
to	to	ADP	IN	O
standing	standing	NOUN	NN	O
and	and	CCONJ	CC	O
head	head	NOUN	NN	O
-	-	PUNCT	HYPH	O
up	up	PART	RP	O
tilt	tilt	NOUN	NN	O
were	be	VERB	VBD	O
studied	study	VERB	VBN	O
