1 22 dummy dummy B-Chemical
2 - dummy dummy I-Chemical
3 oxacalcitriol dummy dummy I-Chemical
4 suppresses dummy dummy O
5 secondary dummy dummy B-Disease
6 hyperparathyroidism dummy dummy I-Disease
7 without dummy dummy O
8 inducing dummy dummy O
9 low dummy dummy B-Disease
10 bone dummy dummy I-Disease
11 turnover dummy dummy I-Disease
12 in dummy dummy O
13 dogs dummy dummy O
14 with dummy dummy O
15 renal dummy dummy B-Disease
16 failure dummy dummy I-Disease
17 . dummy dummy O

1 BACKGROUND dummy dummy O
2 : dummy dummy O
3 Calcitriol dummy dummy B-Chemical
4 therapy dummy dummy O
5 suppresses dummy dummy O
6 serum dummy dummy O
7 levels dummy dummy O
8 of dummy dummy O
9 parathyroid dummy dummy O
10 hormone dummy dummy O
11 ( dummy dummy O
12 PTH dummy dummy O
13 ) dummy dummy O
14 in dummy dummy O
15 patients dummy dummy O
16 with dummy dummy O
17 renal dummy dummy B-Disease
18 failure dummy dummy I-Disease
19 but dummy dummy O
20 has dummy dummy O
21 several dummy dummy O
22 drawbacks dummy dummy O
23 , dummy dummy O
24 including dummy dummy O
25 hypercalcemia dummy dummy B-Disease
26 and dummy dummy O
27 / dummy dummy O
28 or dummy dummy O
29 marked dummy dummy O
30 suppression dummy dummy B-Disease
31 of dummy dummy I-Disease
32 bone dummy dummy I-Disease
33 turnover dummy dummy I-Disease
34 , dummy dummy O
35 which dummy dummy O
36 may dummy dummy O
37 lead dummy dummy O
38 to dummy dummy O
39 adynamic dummy dummy B-Disease
40 bone dummy dummy I-Disease
41 disease dummy dummy I-Disease
42 . dummy dummy O

1 A dummy dummy O
2 new dummy dummy O
3 vitamin dummy dummy B-Chemical
4 D dummy dummy I-Chemical
5 analogue dummy dummy O
6 , dummy dummy O
7 22 dummy dummy B-Chemical
8 - dummy dummy I-Chemical
9 oxacalcitriol dummy dummy I-Chemical
10 ( dummy dummy O
11 OCT dummy dummy B-Chemical
12 ) dummy dummy O
13 , dummy dummy O
14 has dummy dummy O
15 been dummy dummy O
16 shown dummy dummy O
17 to dummy dummy O
18 have dummy dummy O
19 promising dummy dummy O
20 characteristics dummy dummy O
21 . dummy dummy O

1 This dummy dummy O
2 study dummy dummy O
3 was dummy dummy O
4 undertaken dummy dummy O
5 to dummy dummy O
6 determine dummy dummy O
