1 Selegiline dummy dummy B-Chemical
2 - dummy dummy O
3 induced dummy dummy O
4 postural dummy dummy B-Disease
5 hypotension dummy dummy I-Disease
6 in dummy dummy O
7 Parkinson dummy dummy B-Disease
8 ' dummy dummy I-Disease
9 s dummy dummy I-Disease
10 disease dummy dummy I-Disease
11 : dummy dummy O
12 a dummy dummy O
13 longitudinal dummy dummy O
14 study dummy dummy O
15 on dummy dummy O
16 the dummy dummy O
17 effects dummy dummy O
18 of dummy dummy O
19 drug dummy dummy O
20 withdrawal dummy dummy O
21 . dummy dummy O

1 OBJECTIVES dummy dummy O
2 : dummy dummy O
3 The dummy dummy O
4 United dummy dummy O
5 Kingdom dummy dummy O
6 Parkinson dummy dummy B-Disease
7 ' dummy dummy I-Disease
8 s dummy dummy I-Disease
9 Disease dummy dummy I-Disease
10 Research dummy dummy O
11 Group dummy dummy O
12 ( dummy dummy O
13 UKPDRG dummy dummy O
14 ) dummy dummy O
15 trial dummy dummy O
16 found dummy dummy O
17 an dummy dummy O
18 increased dummy dummy O
19 mortality dummy dummy O
20 in dummy dummy O
21 patients dummy dummy O
22 with dummy dummy O
23 Parkinson dummy dummy B-Disease
24 ' dummy dummy I-Disease
25 s dummy dummy I-Disease
26 disease dummy dummy I-Disease
27 ( dummy dummy O
28 PD dummy dummy B-Disease
29 ) dummy dummy O
30 randomized dummy dummy O
31 to dummy dummy O
32 receive dummy dummy O
33 10 dummy dummy O
34 mg dummy dummy O
35 selegiline dummy dummy B-Chemical
36 per dummy dummy O
37 day dummy dummy O
38 and dummy dummy O
39 L dummy dummy B-Chemical
40 - dummy dummy I-Chemical
41 dopa dummy dummy I-Chemical
42 compared dummy dummy O
43 with dummy dummy O
44 those dummy dummy O
45 taking dummy dummy O
46 L dummy dummy B-Chemical
47 - dummy dummy I-Chemical
48 dopa dummy dummy I-Chemical
49 alone dummy dummy O
50 . dummy dummy O

1 Recently dummy dummy O
2 , dummy dummy O
3 we dummy dummy O
4 found dummy dummy O
5 that dummy dummy O
6 therapy dummy dummy O
7 with dummy dummy O
8 selegiline dummy dummy B-Chemical
9 and dummy dummy O
10 L dummy dummy B-Chemical
11 - dummy dummy I-Chemical
12 dopa dummy dummy I-Chemical
13 was dummy dummy O
14 associated dummy dummy O
15 with dummy dummy O
16 selective dummy dummy O
17 systolic dummy dummy B-Disease
18 orthostatic dummy dummy I-Disease
19 hypotension dummy dummy I-Disease
20 which dummy dummy O
21 was dummy dummy O
22 abolished dummy dummy O
23 by dummy dummy O
24 withdrawal dummy dummy O
25 of dummy dummy O
26 selegiline dummy dummy B-Chemical
27 . dummy dummy O

1 This dummy dummy O
2 unwanted dummy dummy O
3 effect dummy dummy O
4 on dummy dummy O
5 postural dummy dummy O
6 blood dummy dummy O
7 pressure dummy dummy O
8 was dummy dummy O
9 not dummy dummy O
10 the dummy dummy O
11 result dummy dummy O
12 of dummy dummy O
13 underlying dummy dummy O
14 autonomic dummy dummy O
15 failure dummy dummy O
16 . dummy dummy O

1 The dummy dummy O
2 aims dummy dummy O
3 of dummy dummy O
4 this dummy dummy O
5 study dummy dummy O
6 were dummy dummy O
7 to dummy dummy O
8 confirm dummy dummy O
